id;id_doi;status;count
443;48;Student  > Doctoral Student;49
444;48;Researcher;23
445;48;Professor;14
446;48;Lecturer > Senior Lecturer;2
447;48;Student  > Postgraduate;4
448;48;Unspecified;19
449;48;Student  > Master;38
450;48;Student  > Bachelor;13
451;48;Other;7
452;48;Student  > Ph. D. Student;138
453;48;Professor > Associate Professor;20
454;49;Lecturer;2
455;49;Student  > Doctoral Student;4
456;49;Researcher;6
457;49;Professor;3
458;49;Student  > Postgraduate;2
459;49;Unspecified;10
460;49;Student  > Master;3
461;49;Student  > Bachelor;3
462;49;Other;2
463;49;Student  > Ph. D. Student;8
464;49;Professor > Associate Professor;3
465;50;Lecturer;5
466;50;Student  > Doctoral Student;11
467;50;Researcher;6
468;50;Professor;3
469;50;Student  > Postgraduate;2
470;50;Unspecified;4
471;50;Student  > Master;9
472;50;Student  > Bachelor;2
473;50;Other;1
474;50;Student  > Ph. D. Student;27
475;50;Librarian;1
476;50;Professor > Associate Professor;7
477;51;Lecturer;3
478;51;Student  > Doctoral Student;7
479;51;Researcher;4
480;51;Professor;4
481;51;Lecturer > Senior Lecturer;1
482;51;Student  > Postgraduate;2
483;51;Student  > Master;5
484;51;Other;2
485;51;Student  > Ph. D. Student;21
486;51;Professor > Associate Professor;3
487;52;Lecturer;2
488;52;Student  > Doctoral Student;4
489;52;Researcher;5
490;52;Professor;1
491;52;Student  > Postgraduate;1
492;52;Unspecified;5
493;52;Student  > Master;2
494;52;Student  > Bachelor;2
495;52;Other;1
496;52;Student  > Ph. D. Student;14
497;52;Professor > Associate Professor;4
499;53;Student  > Doctoral Student;2
500;53;Researcher;1
501;53;Professor;1
502;53;Student  > Postgraduate;2
503;53;Unspecified;3
504;53;Student  > Master;2
505;53;Student  > Bachelor;2
506;53;Student  > Ph. D. Student;5
507;53;Professor > Associate Professor;1
508;54;Lecturer;2
509;54;Researcher;3
510;54;Professor;3
511;54;Lecturer > Senior Lecturer;1
512;54;Unspecified;4
513;54;Student  > Master;6
514;54;Student  > Bachelor;1
515;54;Student  > Ph. D. Student;16
516;54;Professor > Associate Professor;3
517;55;Lecturer;9
518;55;Student  > Doctoral Student;15
519;55;Researcher;14
520;55;Professor;5
522;55;Unspecified;4
523;55;Student  > Master;16
524;55;Student  > Bachelor;10
525;55;Other;1
526;55;Student  > Ph. D. Student;35
527;55;Professor > Associate Professor;17
528;56;Lecturer;1
529;56;Researcher;1
530;56;Professor;3
531;56;Student  > Master;1
532;56;Other;1
533;56;Student  > Ph. D. Student;6
534;56;Student  > Doctoral Student;1
535;57;Lecturer;13
536;57;Student  > Doctoral Student;40
537;57;Researcher;19
538;57;Professor;10
539;57;Lecturer > Senior Lecturer;4
540;57;Student  > Postgraduate;4
541;57;Unspecified;12
542;57;Student  > Master;40
543;57;Student  > Bachelor;9
544;57;Other;6
545;57;Student  > Ph. D. Student;110
546;57;Professor > Associate Professor;15
547;58;Professor > Associate Professor;1
548;59;Lecturer;3
549;59;Student  > Doctoral Student;23
550;59;Researcher;10
551;59;Professor;6
552;59;Lecturer > Senior Lecturer;2
553;59;Student  > Postgraduate;3
554;59;Unspecified;10
555;59;Student  > Master;15
556;59;Student  > Bachelor;9
557;59;Other;9
558;59;Student  > Ph. D. Student;62
559;59;Professor > Associate Professor;8
560;60;Lecturer;5
561;60;Student  > Doctoral Student;7
562;60;Researcher;6
563;60;Professor;1
567;60;Student  > Master;6
568;60;Student  > Bachelor;5
569;60;Other;1
570;60;Student  > Ph. D. Student;22
571;60;Professor > Associate Professor;6
572;61;Lecturer;10
573;61;Student  > Doctoral Student;32
574;61;Researcher;17
575;61;Professor;13
576;61;Lecturer > Senior Lecturer;2
577;61;Student  > Postgraduate;2
578;61;Unspecified;4
579;61;Student  > Master;27
580;61;Student  > Bachelor;5
581;61;Other;1
582;61;Student  > Ph. D. Student;63
583;61;Professor > Associate Professor;16
584;62;Student  > Master;2
585;62;Student  > Bachelor;1
586;62;Student  > Ph. D. Student;1
587;63;Lecturer;2
588;63;Student  > Doctoral Student;12
589;63;Researcher;6
590;63;Professor;2
591;63;Lecturer > Senior Lecturer;2
592;63;Unspecified;3
593;63;Student  > Master;6
594;63;Student  > Bachelor;5
595;63;Other;1
596;63;Student  > Ph. D. Student;26
597;63;Professor > Associate Professor;6
598;64;Student  > Doctoral Student;5
599;64;Student  > Master;5
600;64;Professor;3
601;64;Student  > Postgraduate;1
602;64;Unspecified;3
603;64;Student  > Bachelor;3
604;64;Student  > Ph. D. Student;11
605;64;Professor > Associate Professor;2
606;65;Lecturer;9
607;65;Student  > Doctoral Student;56
609;65;Professor;14
611;65;Student  > Postgraduate;12
612;65;Unspecified;18
613;65;Student  > Master;67
614;65;Student  > Bachelor;16
615;65;Other;9
616;65;Student  > Ph. D. Student;108
617;65;Librarian;2
618;65;Professor > Associate Professor;21
619;66;Student  > Doctoral Student;1
620;66;Student  > Master;1
621;66;Professor;1
622;66;Student  > Postgraduate;1
623;66;Student  > Ph. D. Student;1
624;66;Professor > Associate Professor;1
625;67;Lecturer;2
626;67;Student  > Doctoral Student;11
627;67;Researcher;8
628;67;Professor;4
629;67;Lecturer > Senior Lecturer;2
630;67;Student  > Postgraduate;1
631;67;Unspecified;7
632;67;Student  > Master;5
633;67;Student  > Bachelor;2
634;67;Student  > Ph. D. Student;31
635;67;Professor > Associate Professor;8
636;68;Lecturer;2
637;68;Student  > Doctoral Student;21
638;68;Researcher;6
639;68;Professor;4
640;68;Lecturer > Senior Lecturer;1
641;68;Student  > Postgraduate;3
642;68;Unspecified;11
643;68;Student  > Master;24
644;68;Student  > Bachelor;9
645;68;Other;1
646;68;Student  > Ph. D. Student;49
647;68;Librarian;1
648;68;Professor > Associate Professor;12
649;69;Lecturer;5
650;69;Student  > Doctoral Student;14
651;69;Researcher;3
652;69;Professor;3
653;69;Lecturer > Senior Lecturer;1
654;69;Student  > Postgraduate;1
655;69;Unspecified;4
656;69;Student  > Master;8
657;69;Student  > Bachelor;1
658;69;Other;1
659;69;Student  > Ph. D. Student;34
660;69;Professor > Associate Professor;5
661;70;Lecturer;5
662;70;Student  > Doctoral Student;22
663;70;Researcher;10
664;70;Professor;10
665;70;Lecturer > Senior Lecturer;1
666;70;Student  > Postgraduate;2
667;70;Unspecified;8
668;70;Student  > Master;19
669;70;Student  > Bachelor;2
670;70;Other;2
671;70;Student  > Ph. D. Student;53
672;70;Librarian;1
673;70;Professor > Associate Professor;8
674;71;Lecturer;9
675;71;Student  > Doctoral Student;38
676;71;Researcher;25
677;71;Professor;19
679;71;Student  > Postgraduate;5
680;71;Unspecified;7
681;71;Student  > Master;26
682;71;Student  > Bachelor;13
683;71;Other;5
684;71;Student  > Ph. D. Student;107
685;71;Professor > Associate Professor;28
686;72;Lecturer;2
687;72;Student  > Doctoral Student;21
688;72;Researcher;12
689;72;Professor;6
690;72;Lecturer > Senior Lecturer;1
691;72;Student  > Postgraduate;2
692;72;Unspecified;7
693;72;Student  > Master;18
694;72;Student  > Bachelor;9
695;72;Other;2
696;72;Student  > Ph. D. Student;51
697;72;Professor > Associate Professor;13
698;73;Researcher;1
699;73;Professor > Associate Professor;2
700;73;Other;1
701;73;Student  > Ph. D. Student;2
702;74;Student  > Bachelor;1
703;74;Student  > Doctoral Student;1
704;74;Unspecified;2
705;74;Student  > Ph. D. Student;1
706;75;Lecturer;9
707;75;Student  > Doctoral Student;37
708;75;Researcher;28
709;75;Professor;16
710;75;Lecturer > Senior Lecturer;3
711;75;Student  > Postgraduate;6
712;75;Unspecified;3
713;75;Student  > Master;34
714;75;Student  > Bachelor;4
715;75;Other;4
716;75;Student  > Ph. D. Student;89
717;75;Professor > Associate Professor;33
718;76;Lecturer;6
719;76;Student  > Doctoral Student;9
720;76;Researcher;12
721;76;Professor;5
722;76;Lecturer > Senior Lecturer;3
723;76;Student  > Postgraduate;2
724;76;Unspecified;8
725;76;Student  > Master;10
726;76;Student  > Bachelor;3
727;76;Other;1
728;76;Student  > Ph. D. Student;61
729;76;Professor > Associate Professor;6
730;77;Lecturer;26
731;77;Student  > Doctoral Student;90
732;77;Researcher;43
733;77;Professor;19
734;77;Lecturer > Senior Lecturer;7
735;77;Student  > Postgraduate;10
736;77;Unspecified;42
737;77;Student  > Master;114
738;77;Student  > Bachelor;25
739;77;Other;8
740;77;Student  > Ph. D. Student;206
741;77;Professor > Associate Professor;38
742;78;Lecturer;9
743;78;Student  > Doctoral Student;21
744;78;Researcher;8
745;78;Professor;1
746;78;Lecturer > Senior Lecturer;2
747;78;Student  > Postgraduate;2
748;78;Unspecified;6
749;78;Student  > Master;17
750;78;Student  > Bachelor;4
751;78;Other;1
752;78;Student  > Ph. D. Student;59
753;78;Professor > Associate Professor;12
754;79;Lecturer;12
756;79;Researcher;12
757;79;Professor;12
758;79;Lecturer > Senior Lecturer;2
759;79;Student  > Postgraduate;2
760;79;Unspecified;5
761;79;Student  > Master;26
762;79;Student  > Bachelor;9
763;79;Other;4
764;79;Student  > Ph. D. Student;56
765;79;Librarian;1
766;79;Professor > Associate Professor;29
767;80;Lecturer;11
768;80;Student  > Doctoral Student;43
769;80;Researcher;18
770;80;Professor;18
771;80;Lecturer > Senior Lecturer;2
772;80;Student  > Postgraduate;6
773;80;Unspecified;6
774;80;Student  > Master;23
775;80;Student  > Bachelor;2
776;80;Other;8
777;80;Student  > Ph. D. Student;66
778;80;Librarian;1
779;80;Professor > Associate Professor;14
780;81;Lecturer;9
781;81;Student  > Doctoral Student;37
782;81;Researcher;21
783;81;Professor;15
784;81;Lecturer > Senior Lecturer;1
785;81;Student  > Postgraduate;3
786;81;Unspecified;4
787;81;Student  > Master;26
788;81;Student  > Bachelor;8
789;81;Other;2
790;81;Student  > Ph. D. Student;74
791;81;Librarian;2
792;81;Professor > Associate Professor;21
793;82;Lecturer;1
794;82;Student  > Doctoral Student;8
795;82;Researcher;6
796;82;Professor;4
797;82;Student  > Postgraduate;1
798;82;Unspecified;5
799;82;Student  > Master;12
800;82;Student  > Bachelor;3
801;82;Other;2
802;82;Student  > Ph. D. Student;33
803;82;Professor > Associate Professor;7
804;83;Lecturer;3
805;83;Student  > Doctoral Student;6
806;83;Researcher;11
807;83;Professor;2
808;83;Lecturer > Senior Lecturer;2
809;83;Student  > Postgraduate;3
810;83;Unspecified;13
811;83;Student  > Master;9
812;83;Student  > Bachelor;2
813;83;Other;1
