RePEc:ipg:journl;2017;;null;null;0;2;ReDIF-Article;2274-4487;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ipn:esecon;2017;;null;null;6;1;ReDIF-Article;1665-8310;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:isv:jouijm;2017;5;0.03;0.07;15;2;ReDIF-Article;2232-5697;2232-5107;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:jaf:journl;2017;;null;null;18;;ReDIF-Article;1923-2993;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:jbu:jbeitt;2017;;null;null;0;1;ReDIF-Article;2393-3259;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:jec:journl;2017;9;0.21;0.17;10;4;ReDIF-Article;1819-0197;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:jge:journl;2017;3;null;0.05;0;3;ReDIF-Article;0975-3931;2278-1277;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:kqi:journl;2017;;null;null;22;1;ReDIF-Article;2371-9540;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:kra:journl;2017;;null;null;18;1;ReDIF-Article;1231-8841;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:ksp:journ1;2017;32;0.25;0.23;42;4;ReDIF-Article;2148-8347;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:mer:review;2017;9;null;0.24;0;3;ReDIF-Article;1120-9593;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:msn:rfjrnl;2017;;null;null;9;;ReDIF-Article;2448-6051;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:msn:rgjrnl;2017;;null;null;2;;ReDIF-Article;2448-6043;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
RePEc:mul:jknp7r;2017;;null;null;30;2;ReDIF-Article;1720-951X;;scimago;2018;;;vhb-jourqual;2015;;Handelsblatt-Ranking BWL;2018;;Handelsblatt-Ranking VWL;2017;
